,user,wave_no,day,vaccinated,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all,is_infected
2354,5,10,3,0,262,61.31687242798354,7.407407407407407,11.111111111111109,20.164609053497944,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,1
2355,5,10,4,0,276,39.32584269662922,11.610486891385767,25.468164794007492,23.59550561797753,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,1
2356,5,10,5,0,958,32.26495726495727,2.6709401709401717,38.675213675213676,26.38888888888889,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,1
2357,5,10,6,0,181,88.39779005524862,0.0,11.60220994475138,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,1
2358,5,10,7,0,5,100.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,1
2359,277,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2360,277,10,2,0,2,0.0,0.0,0.0,100.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2361,277,10,3,0,24,0.0,0.0,0.0,100.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2362,277,10,4,0,3,0.0,0.0,0.0,100.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2363,277,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
2364,277,10,6,0,61,0.0,0.0,0.0,100.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
2365,277,10,7,0,11,0.0,0.0,0.0,100.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
2366,390,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2367,390,10,2,0,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2368,390,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
2369,390,10,4,0,0,0.0,0.0,0.0,0.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
2370,390,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
