,user,points,state,vaccination_time,wave_no,decision,extraversion
223,383,100,S,None,5,0,2.25
224,43,90,V,2014-10-10 17:20:00,5,1,4.125
225,391,100,S,None,5,0,3.5
226,245,100,S,None,5,0,3.3277
227,296,100,S,None,5,0,2.75
228,474,90,V,2014-10-11 00:45:00,5,1,3.125
229,417,90,V,2014-10-06 14:10:00,5,1,3.375
230,284,90,V,2014-10-07 00:35:00,5,1,3.5
231,442,100,S,None,5,0,3.3277
232,174,90,V,2014-10-06 14:15:00,5,1,4.25
233,107,90,V,2014-10-06 14:15:00,5,1,2.375
234,369,90,V,2014-10-07 18:15:00,5,1,4.0
235,287,100,S,None,5,0,3.25
236,401,58,V,2014-10-06 16:10:00,5,1,2.625
237,323,100,S,None,5,0,3.25
238,110,100,S,None,5,0,3.0
239,264,100,S,None,5,0,4.0
240,150,100,S,None,5,0,3.625
241,35,100,S,None,5,0,3.3277
242,15,100,S,None,5,0,3.375
243,482,66,V,2014-10-06 15:15:00,5,1,3.125
244,78,100,S,None,5,0,3.125
245,190,90,V,2014-10-07 14:40:00,5,1,2.75
246,228,90,V,2014-10-06 14:20:00,5,1,2.75
247,364,100,S,None,5,0,1.875
248,350,100,S,None,5,0,3.25
249,381,100,S,None,5,0,3.3277
250,481,100,S,None,5,0,3.125
251,65,100,S,None,5,0,3.375
252,358,90,V,2014-10-07 04:25:00,5,1,3.375
253,325,100,S,None,5,0,2.875
254,220,100,S,None,5,0,3.625
255,46,90,V,2014-10-06 20:40:00,5,1,4.0
256,250,90,V,2014-10-06 20:15:00,5,1,4.875
257,203,90,V,2014-10-06 14:25:00,5,1,2.875
258,275,90,V,2014-10-06 18:00:00,5,1,2.375
259,291,100,S,None,5,0,3.3277
260,57,90,V,2014-10-06 18:30:00,5,1,2.5
261,430,100,S,None,5,0,3.75
262,144,100,S,None,5,0,4.0
263,354,100,S,None,5,0,2.75
264,214,90,V,2014-10-06 15:10:00,5,1,2.375
265,80,100,S,None,5,0,3.75
266,2,100,S,None,5,0,2.875
267,384,100,S,None,5,0,2.5
268,433,100,S,None,5,0,3.3277
269,3,90,V,2014-10-06 14:50:00,5,1,4.25
270,213,100,S,None,5,0,3.0
271,70,90,V,2014-10-06 16:50:00,5,1,4.75
272,304,100,S,None,5,0,3.3277
273,204,100,S,None,5,0,3.3277
274,478,100,S,None,5,0,3.3277
275,376,100,S,None,5,0,3.625
276,406,100,S,None,5,0,4.75
