,user,points,state,timestamp,vaccination_time,wave_no,decision
408,397,90,V,2014-09-22 07:54:18,2014-09-18 04:45:00,2,1
409,115,100,S,2014-09-22 07:52:44,,2,0
410,451,51,R,2014-09-22 07:52:16,,2,0
411,165,100,S,2014-09-22 07:52:51,,2,0
412,239,42,R,2014-09-22 07:51:36,,2,0
413,455,100,S,2014-09-22 07:47:37,,2,0
414,112,90,V,2014-09-22 07:50:14,2014-09-15 21:00:00,2,1
415,453,90,V,2014-09-22 07:52:38,2014-09-15 16:00:00,2,1
416,355,90,V,2014-09-22 07:50:08,2014-09-15 14:20:00,2,1
417,479,90,V,2014-09-22 07:54:33,2014-09-15 16:20:00,2,1
418,313,90,V,2014-09-22 07:54:31,2014-09-15 17:45:00,2,1
419,37,90,V,2014-09-22 07:54:14,2014-09-15 16:15:00,2,1
420,34,84,V,2014-09-22 07:52:06,2014-09-15 14:40:00,2,1
421,295,90,V,2014-09-22 07:50:34,2014-09-15 14:20:00,2,1
422,366,90,V,2014-09-22 07:50:25,2014-09-15 18:00:00,2,1
423,58,90,V,2014-09-22 07:50:46,2014-09-15 15:15:00,2,1
424,187,90,V,2014-09-22 07:52:36,2014-09-16 23:35:00,2,1
425,284,90,V,2014-09-22 07:53:51,2014-09-15 18:00:00,2,1
426,236,90,V,2014-09-22 07:52:04,2014-09-15 19:40:00,2,1
427,323,90,V,2014-09-22 07:51:47,2014-09-21 20:10:00,2,1
428,72,90,V,2014-09-22 07:53:39,2014-09-15 14:25:00,2,1
429,322,50,R,2014-09-22 07:51:46,,2,0
430,333,54,R,2014-09-22 07:50:52,,2,0
431,213,100,S,2014-09-22 07:50:53,,2,0
432,134,54,R,2014-09-22 07:52:35,,2,0
433,399,90,V,2014-09-22 07:54:47,2014-09-16 17:40:00,2,1
434,282,100,S,2014-09-22 07:53:15,,2,0
435,450,100,S,2014-09-22 07:50:47,,2,0
436,462,100,S,2014-09-22 07:53:27,,2,0
437,439,29,R,2014-09-22 07:52:59,,2,0
438,156,90,V,2014-09-22 07:53:03,2014-09-15 16:15:00,2,1
439,464,100,S,2014-09-22 07:50:30,,2,0
440,276,56,V,2014-09-22 07:54:17,2014-09-15 14:15:00,2,1
